idcliente,zona,pais,tipodeproducto,canaldeventa,prioridad,fechapedido,idpedido,fechaenvio,unidades,preciounitario,costeunitario,importeventatotal,importecostetotal
C8684,Europa,Norway,Frutas,Offline,Alta,6/10/2022,868451058,8/10/2022,2822,9.3299999,6.9200001,26329.26,19528.24
C4923,Africa,Lesotho,Ropa,Offline,Baja,7/04/2020,492341411,24/05/2020,3619,109.28,35.84,395484.31,129704.96
C4857,Asia,Indonesia,CArnicos,Online,Alta,2/12/2021,485770642,15/12/2021,9183,421.89001,364.69,3874215.8,3348948.3
C5362,Africa,Iraq,Bebida,Online,Alta,28/11/2020,536287581,28/12/2020,8268,47.450001,31.790001,392316.59,262839.72
C8517,Asia,Singapore,Cereales,Online,CrItica,3/04/2022,851753556,12/05/2022,1660,205.7,117.11,341462,194402.59
C8103,Asia,South Korea,Verduras,Online,Media,15/05/2021,810342395,31/05/2021,7177,154.06,90.93,1105688.6,652604.63
C3105,Africa,Lebanon,DomEstico,Online,Baja,26/08/2022,310540425,1/09/2022,4668,668.27002,502.54001,3119484.3,2345856.8
C2211,Asia,Myanmar,Frutas,Online,Alta,23/11/2020,221146476,31/12/2020,1011,9.3299999,6.9200001,9432.6299,6996.1201
C1312,Asia,Vietnam,Ropa,Online,Alta,23/09/2022,131271874,27/09/2022,5120,109.28,35.84,559513.63,183500.8
C6003,Africa,Jordan,Frutas,Online,Baja,25/04/2022,600340449,2/06/2022,2935,9.3299999,6.9200001,27383.551,20310.199
C9080,Australia y OceanIa,Palau,Material de oficina,Offline,Baja,20/10/2022,908088529,22/11/2022,2430,651.21002,524.96002,1582440.3,1275652.8
C4045,CentroamErica y Caribe,Antigua and Barbuda ,Cereales,Offline,CrItica,4/08/2020,404564940,28/08/2020,8611,205.7,117.11,1771282.8,1008434.2
C7601,Australia y OceanIa,Papua New Guinea,Cuidado personal,Offline,Baja,21/01/2021,760131013,28/01/2021,8513,81.730003,56.669998,695767.5,482431.72
C1154,CentroamErica y Caribe,El Salvador,Ropa,Offline,Media,2/11/2022,115460574,19/11/2022,6205,109.28,35.84,678082.38,222387.2
C7315,Africa,Republic of the Congo,Bebida,Offline,Baja,8/02/2022,731539952,9/02/2022,7783,47.450001,31.790001,369303.34,247421.56
C4396,Australia y OceanIa,Vanuatu,CArnicos,Online,CrItica,3/08/2022,439667975,21/09/2022,6379,421.89001,364.69,2691236.3,2326357.5
C2914,Asia,Bangladesh,Ropa,Offline,Baja,11/09/2022,291455972,16/09/2022,7154,109.28,35.84,781789.13,256399.36
C5088,Africa,Burundi,Cereales,Offline,Baja,1/09/2022,508827769,13/09/2022,2299,205.7,117.11,472904.31,269235.88
C9340,Africa,South Sudan,Verduras,Online,Media,17/04/2020,934019696,7/05/2020,6039,154.06,90.93,930368.31,549126.25
C5795,Africa,Mozambique,Bebida,Online,Baja,25/11/2020,579580581,12/12/2020,9628,47.450001,31.790001,456848.59,306074.13
C7783,CentroamErica y Caribe,Saint Kitts and Nevis ,CArnicos,Online,CrItica,27/08/2021,778371751,3/09/2021,6353,421.89001,364.69,2680267.3,2316875.5
C2335,Africa,Rwanda,Verduras,Offline,Media,16/07/2021,233567035,17/08/2021,6531,154.06,90.93,1006165.9,593863.81
C8686,Africa,Rwanda,Bebida,Online,Alta,24/10/2022,868652760,8/12/2022,2510,47.450001,31.790001,119099.5,79792.898
C1774,Europa,Moldova ,Verduras,Offline,Baja,23/12/2020,177427756,31/01/2021,3671,154.06,90.93,565554.25,333804.03
C6740,Europa,Austria,Cereales,Offline,Baja,10/07/2020,674003350,30/07/2020,1424,205.7,117.11,292916.81,166764.64
C4428,Europa,Spain,Ropa,Offline,Baja,16/01/2022,442803370,18/02/2022,4212,109.28,35.84,460287.38,150958.08
C7885,Asia,China,Alimento infantil,Online,CrItica,27/10/2020,788564145,1/12/2020,2509,255.28,159.42,640497.5,399984.78
C3863,Africa,Qatar,CosmEticos,Online,Media,21/07/2022,386334502,11/08/2022,3819,437.20001,263.32999,1669666.8,1005657.3
C2314,Europa,Georgia,Cuidado personal,Online,CrItica,22/11/2021,231475770,23/11/2021,7679,81.730003,56.669998,627604.69,435168.94
C4896,Asia,Kazakhstan,DomEstico,Online,Media,18/01/2021,489661777,11/02/2021,656,668.27002,502.54001,438385.13,329666.25
C9468,Africa,Namibia,Cuidado personal,Offline,Baja,18/08/2022,946878850,5/10/2022,1348,81.730003,56.669998,110172.04,76391.156
C5594,CentroamErica y Caribe,Jamaica,CArnicos,Offline,Baja,1/07/2022,559425818,23/07/2022,5386,421.89001,364.69,2272299.5,1964220.4
C6039,Africa,Syria,Verduras,Offline,Media,22/08/2022,603914010,1/09/2022,431,154.06,90.93,66399.859,39190.828
C6272,Africa,Tanzania,Frutas,Offline,CrItica,24/02/2021,627267253,8/03/2021,1174,9.3299999,6.9200001,10953.42,8124.0801
C6967,Africa,Angola,Alimento infantil,Online,Alta,1/04/2022,696721875,12/05/2022,4340,255.28,159.42,1107915.3,691882.81
C9498,Asia,China,Cuidado personal,Offline,Baja,18/07/2020,949826705,6/09/2020,3684,81.730003,56.669998,301093.31,208772.28
C2444,Europa,Hungary,Cuidado personal,Offline,Baja,30/06/2022,244443070,3/07/2022,4991,81.730003,56.669998,407914.44,282839.97
C2087,Europa,Norway,DomEstico,Offline,Alta,29/01/2022,208744800,3/02/2022,1080,668.27002,502.54001,721731.63,542743.19
C2912,Australia y OceanIa,Australia,CArnicos,Offline,CrItica,9/04/2022,291218221,2/05/2022,6798,421.89001,364.69,2868008.3,2479162.5
C9106,Africa,Nigeria,DomEstico,Offline,Media,22/02/2022,910662162,5/03/2022,4025,668.27002,502.54001,2689786.8,2022723.5
C3061,Asia,Thailand,Material de oficina,Online,Media,9/03/2021,306187951,17/04/2021,6674,651.21002,524.96002,4346175.5,3503583
C3872,Asia,Taiwan,Frutas,Offline,Alta,16/09/2020,387219417,27/09/2020,5685,9.3299999,6.9200001,53041.051,39340.199
C8834,Asia,India,Verduras,Online,Baja,5/06/2022,883492887,5/06/2022,4033,154.06,90.93,621324,366720.69
C6950,Europa,Romania,Bebida,Offline,Baja,24/04/2021,695057189,8/05/2021,1723,47.450001,31.790001,81756.352,54774.172
C1422,Australia y OceanIa,East Timor,CosmEticos,Online,Baja,23/04/2021,142273652,16/05/2021,790,437.20001,263.32999,345388,208030.7
C5158,Europa,Bosnia and Herzegovina,Cereales,Online,Baja,28/06/2022,515816104,6/08/2022,303,205.7,117.11,62327.102,35484.328
C9266,Europa,Ireland,Cuidado personal,Offline,Baja,14/06/2022,926670873,17/07/2022,1359,81.730003,56.669998,111071.07,77014.531
C5561,Europa,Croatia,DomEstico,Online,Baja,19/08/2020,556136786,5/09/2020,2089,668.27002,502.54001,1396016,1049806
C9058,Africa,Iraq,Alimento infantil,Online,Baja,6/08/2022,905825173,22/08/2022,2653,255.28,159.42,677257.81,422941.25
C8476,Europa,Malta,Material de oficina,Online,CrItica,7/06/2021,847659862,22/07/2021,245,651.21002,524.96002,159546.45,128615.2
C6738,Europa,Ireland,CArnicos,Offline,Baja,26/01/2022,673877179,21/02/2022,4087,421.89001,364.69,1724264.4,1490488
C7470,Africa,Madagascar,Alimento infantil,Online,Baja,14/09/2022,747025954,12/10/2022,435,255.28,159.42,111046.8,69347.703
C1499,Europa,Austria,CosmEticos,Online,Media,1/12/2021,149967515,27/12/2021,7575,437.20001,263.32999,3311790,1994724.8
C7358,Africa,Sierra Leone,Cuidado personal,Offline,CrItica,17/02/2020,735875689,25/03/2020,824,81.730003,56.669998,67345.523,46696.078
C3782,Europa,Netherlands,Material de oficina,Online,CrItica,9/01/2021,378236806,18/02/2021,7531,651.21002,524.96002,4904262.5,3953473.8
C6208,Europa,Croatia,CosmEticos,Offline,Alta,15/07/2021,620849692,18/07/2021,2075,437.20001,263.32999,907190,546409.75
C8278,CentroamErica y Caribe,Trinidad and Tobago,Snacks,Offline,Baja,11/11/2021,827825677,19/11/2021,869,152.58,97.440002,132592.02,84675.359
C4335,Asia,South Korea,DomEstico,Offline,CrItica,5/03/2021,433588588,28/03/2021,7353,668.27002,502.54001,4913789.5,3695176.5
C2928,Australia y OceanIa,Samoa ,CArnicos,Offline,Alta,24/11/2021,292874753,25/12/2021,7003,421.89001,364.69,2954495.8,2553924
C4307,Europa,Albania,Material de oficina,Offline,Baja,31/07/2022,430733001,2/08/2022,2322,651.21002,524.96002,1512109.6,1218957.1
C4925,Africa,Cape Verde,Frutas,Online,Media,3/03/2022,492524659,25/03/2022,7846,9.3299999,6.9200001,73203.18,54294.32
C1939,Europa,Italy,Bebida,Online,Baja,9/06/2021,193923556,20/06/2021,5145,47.450001,31.790001,244130.25,163559.55
C6709,Europa,Hungary,Bebida,Offline,Baja,26/07/2021,670916020,2/08/2021,7815,47.450001,31.790001,370821.75,248438.84
C4298,Asia,Maldives,Alimento infantil,Offline,CrItica,17/09/2022,429800879,19/10/2022,6486,255.28,159.42,1655746.1,1033998.1
C2971,Africa,Mali,DomEstico,Offline,Alta,25/07/2022,297189462,19/08/2022,3821,668.27002,502.54001,2553459.8,1920205.4
C2700,Africa,Yemen,Cuidado personal,Online,Media,26/08/2020,270005595,4/09/2020,9511,81.730003,56.669998,777334,538988.38
C8654,Asia,North Korea,Snacks,Offline,Baja,15/08/2022,865485608,10/09/2022,5279,152.58,97.440002,805469.81,514385.75
C8711,Asia,Uzbekistan,Cereales,Offline,Alta,28/08/2021,871178328,28/08/2021,9882,205.7,117.11,2032727.4,1157281
C4949,Europa,Latvia,Verduras,Online,Baja,12/10/2022,494945085,6/11/2022,4104,154.06,90.93,632262.25,373176.72
C9149,Asia,Singapore,Snacks,Offline,CrItica,29/05/2021,914959704,24/06/2021,5764,152.58,97.440002,879471.13,561644.19
C2297,Europa,Lithuania,DomEstico,Online,Baja,7/12/2021,229708516,23/01/2022,4709,668.27002,502.54001,3146883.5,2366460.8
C2079,Africa,Senegal,Bebida,Offline,Alta,4/01/2022,207990348,20/01/2022,7821,47.450001,31.790001,371106.44,248629.59
C4389,Africa,South Sudan,Verduras,Offline,CrItica,20/07/2022,438916528,18/08/2022,4009,154.06,90.93,617626.56,364538.38
C5819,Europa,Bulgaria,Alimento infantil,Online,Alta,30/07/2020,581910884,16/08/2020,9217,255.28,159.42,2352915.8,1469374.1
C8167,Africa,Seychelles ,CArnicos,Offline,Alta,4/02/2022,816709744,1/03/2022,1417,421.89001,364.69,597818.13,516765.72
C4933,CentroamErica y Caribe,Saint Kitts and Nevis ,DomEstico,Online,Alta,24/08/2020,493361937,29/09/2020,5616,668.27002,502.54001,3753004.3,2822264.8
C3822,CentroamErica y Caribe,Saint Vincent and the Grenadines,Alimento infantil,Offline,Alta,10/08/2021,382228791,26/09/2021,8848,255.28,159.42,2258717.5,1410548.1
C4239,Europa,Andorra,CosmEticos,Offline,Baja,2/10/2020,423984134,14/11/2020,5182,437.20001,263.32999,2265570.5,1364576
C1796,Africa,Mali,CArnicos,Offline,CrItica,3/11/2022,179614293,23/11/2022,716,421.89001,364.69,302073.25,261118.05
C1804,Africa,Togo,Cuidado personal,Offline,Media,26/02/2020,180418097,15/03/2020,8579,81.730003,56.669998,701161.69,486171.94
C5780,Asia,Thailand,CArnicos,Offline,Alta,17/07/2022,578006875,21/08/2022,3934,421.89001,364.69,1659715.3,1434690.5
C6943,Europa,Moldova ,DomEstico,Online,Alta,1/09/2021,694304454,9/09/2021,8972,668.27002,502.54001,5995718.5,4508789
C3715,CentroamErica y Caribe,Trinidad and Tobago,Alimento infantil,Online,Alta,14/01/2021,371547162,23/02/2021,7917,255.28,159.42,2021051.8,1262128.1
C4222,Asia,Japan,Bebida,Online,Media,6/04/2020,422283828,26/04/2020,2024,47.450001,31.790001,96038.797,64342.961
C3793,Africa,Central African Republic,Cereales,Offline,CrItica,23/03/2022,379375779,23/03/2022,4578,205.7,117.11,941694.63,536129.56
C7459,Africa,Azerbaijan,Cuidado personal,Online,Baja,11/03/2020,745996844,3/04/2020,5899,81.730003,56.669998,482125.28,334296.34
C7456,Africa,Mauritania,Frutas,Offline,Baja,20/02/2022,745633351,3/04/2022,8333,9.3299999,6.9200001,77746.891,57664.359
C5720,Europa,Portugal,Snacks,Offline,Media,16/09/2020,572084128,5/11/2020,1261,152.58,97.440002,192403.38,122871.84
C9394,Africa,Liberia,Bebida,Online,Baja,22/05/2020,939460504,24/05/2020,6095,47.450001,31.790001,289207.75,193760.05
C8321,Africa,South Sudan,Frutas,Online,Alta,12/10/2021,832186305,26/11/2021,1276,9.3299999,6.9200001,11905.08,8829.9199
C6549,Africa,Cameroon,Frutas,Online,Baja,28/02/2020,654997861,2/04/2020,7277,9.3299999,6.9200001,67894.406,50356.84
C8829,CentroamErica y Caribe,Cuba,CArnicos,Online,Baja,23/03/2021,882943999,7/04/2021,1605,421.89001,364.69,677133.44,585327.44
C7113,Africa,Malawi,Frutas,Online,Baja,27/06/2022,711386048,15/08/2022,3795,9.3299999,6.9200001,35407.352,26261.4
C3059,Australia y OceanIa,Tuvalu,Bebida,Offline,Baja,9/06/2020,305997836,10/07/2020,415,47.450001,31.790001,19691.75,13192.85
C3527,Africa,Burundi,CArnicos,Offline,Alta,19/07/2020,352765691,11/08/2020,62,421.89001,364.69,26157.18,22610.779
C7079,Africa,Liberia,Verduras,Online,CrItica,15/07/2021,707988440,8/08/2021,8367,154.06,90.93,1289020,760811.31
C8482,Asia,Turkmenistan,Verduras,Offline,Media,13/07/2022,848277413,29/08/2022,2992,154.06,90.93,460947.53,272062.56
C3205,Africa,Uganda,DomEstico,Online,Media,16/08/2021,320556437,25/09/2021,8628,668.27002,502.54001,5765833.5,4335915
C9920,Africa,Lebanon,Alimento infantil,Online,Alta,6/03/2020,992061841,24/03/2020,1999,255.28,159.42,510304.72,318680.59
C3003,Europa,Switzerland,Material de oficina,Online,Media,20/05/2021,300342452,24/06/2021,6861,651.21002,524.96002,4467952,3601750.5
C7032,Africa,Kuwait,Verduras,Online,Alta,2/04/2020,703259599,5/04/2020,8998,154.06,90.93,1386231.9,818188.13
C2289,Asia,India,Ropa,Offline,Alta,17/03/2022,228987109,14/04/2022,1229,109.28,35.84,134305.13,44047.359
C1260,Africa,Angola,Cereales,Online,CrItica,22/08/2021,126011312,18/09/2021,8402,205.7,117.11,1728291.4,983958.25
C8131,Asia,Uzbekistan,Bebida,Offline,CrItica,28/06/2020,813131034,1/07/2020,2397,47.450001,31.790001,113737.65,76200.633
C5294,Europa,Latvia,Cuidado personal,Offline,CrItica,5/02/2021,529457604,5/03/2021,7126,81.730003,56.669998,582408,403830.41
C2844,Africa,Ghana,CArnicos,Offline,Media,2/12/2021,284414851,7/12/2021,3530,421.89001,364.69,1489271.8,1287355.8
C7077,Europa,Poland,Bebida,Online,CrItica,22/10/2021,707739102,28/10/2021,4583,47.450001,31.790001,217463.34,145693.56
C6994,Asia,Mongolia,CosmEticos,Online,Baja,15/06/2021,699479186,25/07/2021,290,437.20001,263.32999,126788,76365.703
C5799,Asia,Vietnam,Cereales,Online,CrItica,13/12/2021,579996430,9/01/2022,2687,205.7,117.11,552715.88,314674.56
C7399,Europa,United Kingdom,Cereales,Online,Baja,29/06/2020,739964663,27/07/2020,842,205.7,117.11,173199.41,98606.617
C2903,Australia y OceanIa,Vanuatu,Ropa,Offline,Baja,31/05/2020,290370213,15/06/2020,5854,109.28,35.84,639725.13,209807.36
C2125,Africa,Ethiopia,Frutas,Online,Baja,22/02/2021,212511909,22/02/2021,5851,9.3299999,6.9200001,54589.828,40488.922
C2080,Africa,Niger,Frutas,Online,CrItica,13/07/2022,208001077,22/07/2022,996,9.3299999,6.9200001,9292.6797,6892.3198
C9487,Africa,Central African Republic,Cuidado personal,Offline,Alta,9/07/2020,948761546,13/07/2020,8480,81.730003,56.669998,693070.38,480561.59
C9270,Africa,Cape Verde,Snacks,Offline,CrItica,18/01/2020,927029645,29/01/2020,7527,152.58,97.440002,1148469.6,733430.88
C5053,NorteamErica,United States of America,Cuidado personal,Offline,CrItica,26/02/2022,505354201,12/04/2022,4393,81.730003,56.669998,359039.88,248951.31
C5665,Africa,Sudan,Frutas,Offline,CrItica,30/07/2022,566596543,1/09/2022,7363,9.3299999,6.9200001,68696.789,50951.961
C2639,Africa,Republic of the Congo,Material de oficina,Offline,CrItica,24/09/2021,263930499,5/11/2021,1755,651.21002,524.96002,1142873.5,921304.81
C1708,Australia y OceanIa,Federated States of Micronesia,Frutas,Online,CrItica,10/06/2020,170842397,10/06/2020,4917,9.3299999,6.9200001,45875.609,34025.641
C9311,Africa,South Sudan,Frutas,Offline,Baja,10/05/2021,931131064,7/06/2021,1229,9.3299999,6.9200001,11466.57,8504.6797
C1089,Africa,Cape Verde,Frutas,Online,Media,27/10/2021,108907830,31/10/2021,7102,9.3299999,6.9200001,66261.656,49145.84
C7385,Australia y OceanIa,Palau,DomEstico,Offline,Alta,31/12/2020,738596522,18/02/2021,5979,668.27002,502.54001,3995586.3,3004686.8
C9749,Africa,Bahrain,Material de oficina,Offline,Baja,29/04/2021,974933469,12/06/2021,3333,651.21002,524.96002,2170483,1749691.6
C8429,Africa,Algeria,Material de oficina,Offline,Media,4/05/2021,842967498,14/05/2021,1670,651.21002,524.96002,1087520.8,876683.19
C8880,Africa,Botswana,Cuidado personal,Online,CrItica,7/11/2022,888059937,10/12/2022,5525,81.730003,56.669998,451558.25,313101.75
C8258,Africa,Seychelles ,DomEstico,Offline,Media,1/12/2020,825884616,3/01/2021,6466,668.27002,502.54001,4321034,3249423.8
C8924,Africa,The Gambia,Material de oficina,Online,Alta,8/06/2022,892427861,25/07/2022,8091,651.21002,524.96002,5268940,4247451.5
C4939,Africa,Guinea-Bissau,Material de oficina,Online,Baja,2/11/2021,493988502,21/12/2021,1030,651.21002,524.96002,670746.31,540708.81
C4571,Africa,Pakistan,Verduras,Offline,Baja,17/07/2022,457177865,11/08/2022,7945,154.06,90.93,1224006.8,722438.88
C7789,Africa,Mauritania,CArnicos,Online,Media,19/03/2021,778919780,20/03/2021,8527,421.89001,364.69,3597456,3109711.8
C1764,Asia,Thailand,Material de oficina,Online,Alta,22/08/2020,176450574,8/09/2020,4501,651.21002,524.96002,2931096.3,2362845
C1373,Africa,Afghanistan,CArnicos,Offline,Media,1/08/2022,137319076,20/09/2022,4621,421.89001,364.69,1949553.8,1685232.5
C8693,Africa,The Gambia,Ropa,Online,Baja,17/08/2020,869386613,25/09/2020,9673,109.28,35.84,1057065.5,346680.31
C8508,Africa,Oman,CArnicos,Offline,Baja,16/08/2021,850827014,29/08/2021,7476,421.89001,364.69,3154049.8,2726422.5
C8801,Africa,Burkina Faso,Snacks,Offline,Alta,24/05/2021,880126607,7/06/2021,7876,152.58,97.440002,1201720.1,767437.44
C9260,Africa,Cameroon,Ropa,Offline,Media,12/06/2020,926084220,5/07/2020,7755,109.28,35.84,847466.38,277939.19
C5778,Africa,Burkina Faso,Cereales,Online,Alta,21/07/2022,577811181,23/08/2022,6024,205.7,117.11,1239136.8,705470.63
C3947,Europa,Serbia,Snacks,Online,Alta,17/11/2021,394731318,12/12/2021,8624,152.58,97.440002,1315849.9,840322.56
C5565,Africa,Mauritius ,DomEstico,Offline,CrItica,26/07/2021,556580960,9/09/2021,3529,668.27002,502.54001,2358324.8,1773463.6
C4134,Africa,Liberia,Material de oficina,Offline,CrItica,17/11/2020,413408935,13/12/2020,5745,651.21002,524.96002,3741201.5,3015895.3
C7355,Europa,Latvia,Cuidado personal,Offline,CrItica,3/05/2022,735576570,17/05/2022,2308,81.730003,56.669998,188632.84,130794.36
C5637,Asia,China,Ropa,Offline,Media,16/09/2021,563757693,1/11/2021,7284,109.28,35.84,795995.5,261058.56
C3589,Australia y OceanIa,New Zealand,Verduras,Online,Baja,22/11/2020,358938634,9/12/2020,6773,154.06,90.93,1043448.4,615868.88
C6524,Africa,Sierra Leone,Snacks,Online,CrItica,3/10/2020,652418220,19/10/2020,3904,152.58,97.440002,595672.31,380405.75
C6958,Europa,Bulgaria,Material de oficina,Online,CrItica,26/07/2022,695807778,6/09/2022,3839,651.21002,524.96002,2499995.3,2015321.5
C7110,Africa,Somalia,Material de oficina,Offline,CrItica,5/11/2020,711031138,7/12/2020,8769,651.21002,524.96002,5710460.5,4603374
C5403,Europa,Spain,Bebida,Offline,Alta,17/12/2021,540324628,25/01/2022,2919,47.450001,31.790001,138506.55,92795.008
C9962,Europa,Cyprus,Cereales,Offline,Media,31/08/2022,996237075,31/08/2022,7544,205.7,117.11,1551800.8,883477.81
C7116,Africa,Namibia,Ropa,Online,Media,12/02/2020,711629807,5/03/2020,5929,109.28,35.84,647921.13,212495.36
C1896,NorteamErica,Greenland,Cereales,Offline,Alta,19/11/2021,189676654,1/01/2022,8392,205.7,117.11,1726234.4,982787.13
C4538,Africa,Rwanda,DomEstico,Online,Baja,23/08/2021,453863942,9/09/2021,7281,668.27002,502.54001,4865674,3658993.8
C7979,CentroamErica y Caribe,The Bahamas,Material de oficina,Offline,Baja,14/08/2020,797990500,22/09/2020,1977,651.21002,524.96002,1287442.1,1037845.9
C1361,Europa,Germany,Bebida,Online,Alta,8/06/2020,136167657,21/06/2020,3890,47.450001,31.790001,184580.5,123663.1
C1528,Europa,Cyprus,Bebida,Online,CrItica,11/09/2021,152819240,16/10/2021,1464,47.450001,31.790001,69466.797,46540.559
C3526,Europa,Luxembourg,Snacks,Online,CrItica,15/07/2022,352681577,25/07/2022,5171,152.58,97.440002,788991.19,503862.25
C3108,Australia y OceanIa,Tuvalu,Cereales,Online,Alta,27/01/2020,310803496,4/03/2020,2516,205.7,117.11,517541.19,294648.75
C1225,Europa,Bulgaria,CosmEticos,Offline,Baja,26/05/2020,122546327,18/06/2020,3036,437.20001,263.32999,1327339.3,799469.88
C8535,Asia,Bangladesh,Frutas,Offline,Alta,4/01/2020,853583896,20/01/2020,3298,9.3299999,6.9200001,30770.34,22822.16
C4899,CentroamErica y Caribe,El Salvador,Cuidado personal,Offline,Alta,4/07/2021,489902532,31/07/2021,1901,81.730003,56.669998,155368.73,107729.67
C6878,Asia,China,Verduras,Online,Media,2/10/2020,687801063,6/10/2020,4474,154.06,90.93,689264.44,406820.81
C9238,Asia,Mongolia,CArnicos,Online,Media,7/08/2022,923890817,17/08/2022,8678,421.89001,364.69,3661161.5,3164779.8
C7450,Australia y OceanIa,Solomon Islands,Frutas,Offline,Alta,11/04/2022,745095622,27/05/2022,9207,9.3299999,6.9200001,85901.313,63712.441
C2186,Africa,Mauritania,CosmEticos,Offline,Baja,23/02/2021,218651807,19/03/2021,2783,437.20001,263.32999,1216727.6,732847.38
C3821,Asia,South Korea,Verduras,Online,Media,26/05/2022,382108199,13/07/2022,3162,154.06,90.93,487137.72,287520.66
C9933,Asia,Myanmar,Material de oficina,Online,Baja,17/01/2021,993326127,18/02/2021,6130,651.21002,524.96002,3991917.3,3218004.8
C9804,Africa,Botswana,Cereales,Offline,Baja,7/07/2022,980479419,6/08/2022,4503,205.7,117.11,926267.13,527346.31
